daily_screen_time_hours,social_media_hours,sleep_hours,addicted_label
7.77,2.69,5.01,1
4.93,3.87,5.4,0
9.01,4.4,5.85,1
5.13,3.22,6.6,0
7.73,4.73,8.88,1
9.91,1.21,8.24,1
11.05,5.15,6.98,1
4.54,3.93,8.66,0
8.56,0.67,7.39,1
9.2,1.37,6.03,1
7.63,1.08,6.52,0
11.4,4.47,8.98,1
7.12,1.82,5.77,1
9.55,4.7,7.07,1
10.43,3.93,4.94,1
6.61,0.72,8.12,1
4.46,5.95,6.01,1
5.98,1.1,8.54,0
8.25,1.44,8.29,1
5.82,1.33,7.99,0
7.73,2.23,6.04,0
8.02,1.74,5.8,1
6.42,5.89,8.12,1
9.73,1.68,7.03,1
5.03,1.78,6.63,0
7.3,1.6,7.41,0
11.41,0.7,5.34,1
7.09,4.03,5.1,1
8.83,4.45,5.83,1
3.78,4.18,5.96,1
8.24,3.65,5.56,1
8.75,5.67,8.81,1
11.22,4.67,7.93,1
3.56,3.51,5.17,0
7.01,0.81,7.04,1
9.71,3.68,4.79,1
9.92,4.71,6.39,1
4.2,5.23,6.27,1
6.82,2.59,5.2,0
3.61,3.77,8.42,0
11.94,1.79,7.1,1
3.55,5.72,7.32,1
6.67,2.15,5.58,0
11.71,3.57,5.42,1
6.39,3.83,8.12,1
11.43,5.79,6.66,1
7.2,4.07,8.47,1
5.82,0.75,4.57,0
5.07,3.63,8.75,0
4.52,4.46,6.94,1
10.58,1.77,6.78,1
7.79,2.76,6.91,0
7.72,1.83,6.09,0
5.7,5.05,7.42,1
9.33,0.95,5.99,1
5.44,5.58,6.94,1
9.77,4.42,5.23,1
10.11,4.29,6.06,1
8.71,4.81,6.99,1
10.18,4.42,7.7,1
11.49,2.95,4.89,1
6.19,1.01,6.23,0
4.53,1.98,5.25,0
8.34,1.58,8.77,1
5.7,3.82,5.3,0
5.52,4.82,5.4,1
6.95,2.1,8.08,1
9.44,4.84,6.66,1
8.34,5.53,7.49,1
3.09,1.92,7.11,0
7.34,2.12,8.24,0
6.13,1.04,4.8,0
7.64,3.54,6.58,1
7.05,2.86,5.75,1
7.12,1.94,7.38,1
8.56,4.98,7.27,1
9.24,3.31,6.23,1
4.26,2.23,6.12,0
6.74,5.12,4.64,1
8.09,4.75,7.08,1
11.91,1.06,5.84,1
10.3,3.73,7.35,1
7.79,3.78,5.82,0
11.93,5.27,5.62,1
8.65,2.56,7.96,1
8.24,5.28,8.87,1
7.45,2.28,5.09,0
3.15,5.61,8.96,1
8.89,1.88,5.24,1
9.33,0.51,5.52,1
7.3,1.76,4.96,0
8.49,1.4,7.87,1
8.31,2.61,5.13,1
4.85,3.84,7.41,0
7.75,5.88,5.09,1
8.29,0.58,8.77,1
3.74,3.45,5.89,0
5.79,2.91,5.6,0
4.07,4.39,8.79,1
9.75,5.3,8.55,1
7.6,0.8,5.21,0
3.02,5.22,6.14,1
6.75,4.46,6.18,1
10.79,4.75,6.56,1
11.98,4.77,8.08,1
11.56,0.51,7.77,1
9.4,1.01,6.84,1
8.73,2.67,7.48,1
5.45,0.91,7.13,0
6.22,4.74,8.34,1
3.82,1.87,7.55,0
3.92,4.87,8.01,1
11.26,0.91,7.41,1
4.51,3.66,4.63,0
10.95,0.69,5.83,1
4.8,5.37,8.11,1
6.1,3.61,4.62,1
9.9,6.0,7.46,1
6.19,5.12,7.17,1
10.53,4.96,5.29,1
3.01,5.55,7.73,1
11.65,2.55,4.95,1
4.57,5.83,8.04,1
9.56,5.72,8.97,1
5.98,0.93,7.36,0
5.25,0.87,4.51,0
7.91,1.06,7.43,1
5.35,1.08,5.22,0
6.88,4.09,4.74,1
3.86,2.66,4.75,0
4.86,4.01,5.02,1
6.49,2.54,4.7,0
3.77,2.39,7.15,0
7.29,0.93,6.76,0
11.54,1.42,4.69,1
3.78,3.56,6.84,0
4.33,3.73,8.66,0
8.89,3.65,6.31,1
3.44,3.11,6.02,0
11.77,2.94,6.38,1
10.39,3.33,6.78,1
5.25,3.01,5.73,0
7.4,2.95,6.98,1
3.45,5.2,5.5,1
8.83,3.81,8.12,1
7.2,4.22,4.96,1
7.34,2.35,5.75,0
8.94,4.24,8.99,1
9.18,4.01,6.11,1
4.15,1.92,5.32,0
6.78,5.38,6.59,1
4.08,4.24,8.42,1
10.76,1.49,8.94,1
7.41,4.7,7.35,1
9.58,5.73,6.89,1
3.92,3.27,4.71,0
6.08,5.46,8.77,1
8.31,1.43,4.67,1
8.88,0.61,6.21,1
8.95,4.14,5.12,1
7.48,3.85,8.88,0
5.98,0.52,8.26,0
7.11,5.88,8.16,1
3.85,4.67,7.49,1
4.65,2.7,6.24,0
11.83,5.14,6.67,1
7.35,3.18,4.79,1
9.19,3.9,6.67,1
7.55,3.08,7.88,0
6.63,1.79,6.52,0
6.71,3.56,7.22,1
10.43,4.99,7.95,1
3.02,2.45,6.96,0
3.96,3.86,6.27,0
9.95,2.98,5.11,1
9.23,1.46,7.46,1
11.67,5.84,6.36,1
8.62,2.1,8.92,1
7.32,3.64,7.87,0
4.31,4.19,5.22,1
6.23,2.99,7.03,0
6.75,4.83,4.74,1
9.65,1.58,6.52,1
5.51,1.95,4.53,0
6.22,4.81,5.33,1
10.95,4.15,8.78,1
7.01,5.47,8.82,1
3.22,3.34,6.79,0
11.53,1.42,4.53,1
10.46,5.33,8.18,1
3.49,4.87,5.52,1
6.51,1.15,4.78,0
8.46,2.05,8.2,1
11.64,1.29,8.08,1
8.15,2.67,5.45,1
8.55,1.89,7.05,1
5.26,1.59,6.11,0
7.06,3.89,7.04,1
9.41,4.02,7.56,1
4.58,3.84,5.13,0
8.68,4.97,5.46,1
5.01,4.75,6.59,1
9.81,1.27,7.05,1
5.09,1.95,6.83,0
3.93,5.83,7.84,1
7.65,2.57,6.09,0
5.07,3.33,5.21,0
7.31,3.75,5.6,0
5.32,1.49,7.04,0
4.97,2.76,7.95,0
5.07,2.62,8.37,0
10.9,3.42,7.47,1
9.28,2.86,7.96,1
7.29,1.78,8.45,0
6.38,1.63,4.98,1
11.93,2.69,7.01,1
9.97,2.69,5.04,1
10.07,4.9,4.73,1
3.79,1.95,7.76,0
6.95,1.61,5.79,0
6.24,4.1,5.74,1
11.27,3.52,7.12,1
5.35,2.74,5.82,0
9.93,4.67,6.57,1
9.09,1.76,6.82,1
11.38,3.12,5.71,1
5.06,5.09,8.01,1
10.63,2.54,8.46,1
3.49,4.9,6.76,1
3.11,1.66,7.26,0
6.29,3.24,6.18,0
10.24,3.55,8.1,1
11.96,5.17,8.03,1
3.54,4.98,6.52,1
4.09,5.27,7.09,1
7.39,4.55,5.79,1
10.64,0.89,5.93,1
11.69,2.78,7.77,1
3.93,0.85,4.62,0
3.76,5.62,7.82,1
10.74,2.29,6.93,1
7.71,4.02,6.93,1
3.1,3.38,5.79,0
10.18,3.78,5.35,1
5.37,2.82,8.59,0
4.64,2.09,5.72,0
4.67,1.06,7.77,0
10.07,3.24,4.64,1
11.06,1.88,8.89,1
9.62,1.02,6.25,1
8.75,1.59,5.48,1
6.56,1.84,7.61,0
9.17,2.36,4.77,1
5.85,3.57,8.51,0
7.37,2.91,5.35,1
4.44,3.42,6.94,0
9.98,1.81,6.93,1
8.77,1.11,8.26,1
3.29,4.03,7.31,1
11.36,5.08,6.12,1
9.61,5.09,6.84,1
8.03,3.57,7.09,1
6.61,2.36,6.49,1
10.44,2.28,6.19,1
11.85,3.78,5.86,1
8.01,5.59,6.1,1
3.83,2.7,7.76,0
3.71,0.81,8.18,0
7.72,2.26,7.64,0
5.61,2.67,7.07,0
9.86,3.15,7.07,1
9.99,2.28,7.52,1
11.89,3.89,5.16,1
5.19,3.92,5.79,0
4.91,3.51,7.3,0
5.56,4.84,7.45,1
10.81,4.07,8.89,1
11.7,3.58,8.65,1
6.2,2.16,5.74,1
6.08,2.66,6.84,1
6.84,2.22,5.09,0
11.19,2.87,7.45,1
9.54,4.71,6.35,1
4.66,4.69,7.05,1
4.21,5.15,5.33,1
9.88,0.58,7.84,1
6.85,4.77,7.74,1
10.44,0.73,6.28,1
6.58,2.18,6.4,1
4.02,4.78,5.11,1
5.25,4.3,7.73,1
9.54,5.86,6.98,1
9.92,0.78,8.82,1
3.11,3.24,7.24,0
3.71,3.8,7.29,0
10.68,4.17,8.64,1
4.6,3.0,4.92,0
5.64,1.24,6.87,0
11.88,3.16,8.94,1
7.68,3.98,7.24,0
9.64,1.64,4.7,1
5.29,0.87,7.95,0
10.5,5.57,4.66,1
10.52,2.15,6.91,1
6.05,2.56,7.23,0
3.78,5.32,5.86,1
7.55,4.89,6.03,1
4.85,0.7,5.02,0
3.93,4.71,7.91,1
9.96,4.19,5.02,1
11.49,4.92,5.9,1
3.95,0.8,7.18,0
10.36,4.42,8.88,1
9.16,4.41,5.51,1
10.1,5.35,6.64,1
7.57,2.73,7.0,0
7.93,5.86,8.16,1
9.65,4.42,7.18,1
8.38,4.27,5.97,1
7.08,2.1,5.43,1
11.91,3.7,8.31,1
10.39,2.48,5.56,1
7.91,4.14,6.23,1
8.84,1.29,8.89,1
7.09,2.83,5.52,1
8.19,0.68,6.16,1
3.7,5.39,7.84,1
10.01,3.08,7.8,1
9.54,3.6,5.26,1
4.14,0.92,7.27,0
6.33,1.46,5.31,0
9.93,1.81,5.45,1
6.59,2.16,6.9,0
6.44,2.24,4.94,1
10.22,1.9,7.54,1
3.1,0.55,6.86,0
3.21,1.01,8.26,0
11.06,4.33,8.71,1
10.03,2.03,8.98,1
4.61,3.21,5.48,0
3.63,4.5,6.74,1
11.14,3.66,6.71,1
4.09,3.44,5.86,0
3.72,3.03,5.29,0
7.38,5.37,4.66,1
11.68,4.96,6.03,1
11.32,0.7,6.62,1
11.14,5.01,8.26,1
6.04,5.1,5.04,1
6.02,1.16,7.63,0
10.0,0.59,5.31,1
8.76,3.38,7.25,1
3.04,1.8,4.93,0
4.01,1.32,6.74,0
6.01,4.93,7.83,1
9.49,3.76,7.55,1
10.83,2.57,6.68,1
4.23,4.46,5.41,1
7.13,1.44,7.22,0
7.4,5.98,5.76,1
11.03,3.75,4.52,1
7.31,4.89,5.58,1
5.15,5.99,5.23,1
4.66,5.29,4.51,1
9.78,4.34,5.43,1
6.45,3.06,7.42,1
4.02,3.13,8.82,0
6.36,2.99,6.62,0
3.79,2.65,4.85,0
11.57,0.62,8.69,1
3.2,4.91,6.01,1
8.11,5.44,5.52,1
11.61,3.9,5.32,1
6.97,2.53,7.49,1
6.64,3.25,5.94,1
10.2,4.51,5.01,1
8.56,1.71,7.24,1
10.65,4.22,6.27,1
9.44,2.85,6.05,1
10.23,2.09,6.41,1
7.27,5.27,8.82,1
7.16,3.62,8.25,1
5.02,4.85,7.38,1
11.16,4.05,6.72,1
11.77,5.0,4.58,1
6.22,0.79,8.8,0
9.88,3.79,5.92,1
10.41,0.57,6.68,1
10.61,4.42,6.38,1
4.25,2.93,8.87,0
9.19,2.19,6.41,1
3.3,4.13,8.59,1
8.29,1.6,5.16,1
7.54,0.88,6.88,0
10.66,3.11,7.53,1
6.67,4.69,6.84,1
4.04,2.06,8.89,0
11.45,2.52,7.52,1
6.61,3.75,8.9,1
10.54,4.49,7.12,1
5.51,4.72,6.74,1
11.75,2.6,7.3,1
8.96,3.2,8.37,1
5.83,2.57,7.0,0
9.44,3.18,7.47,1
7.45,5.84,8.9,1
9.89,3.94,8.96,1
8.33,5.51,6.02,1
9.26,3.73,6.26,1
10.3,4.17,8.86,1
5.68,3.65,8.81,0
7.28,1.65,5.86,0
5.26,3.33,8.46,0
5.41,4.01,8.58,1
4.35,4.27,5.93,1
5.31,3.81,5.36,0
4.82,2.0,5.75,0
5.83,2.14,8.54,0
11.4,3.37,8.69,1
10.25,4.59,4.98,1
9.3,1.12,5.61,1
10.57,4.14,8.05,1
10.72,2.64,8.9,1
8.68,5.34,4.65,1
10.89,5.01,6.78,1
9.86,4.03,7.38,1
5.25,4.42,5.09,1
5.35,4.28,5.39,1
8.82,3.95,5.39,1
11.62,1.44,6.87,1
4.71,5.24,6.72,1
6.76,2.75,5.68,0
4.2,2.28,7.71,0
3.47,5.62,7.23,1
5.72,2.67,7.02,0
3.81,4.41,5.91,1
8.52,4.69,8.52,1
3.49,1.51,6.6,0
10.61,5.27,8.41,1
6.75,0.92,8.49,1
10.53,1.35,7.47,1
5.92,4.52,7.06,1
7.92,3.81,5.58,1
8.82,5.75,8.1,1
10.49,3.32,6.64,1
3.84,3.32,7.41,0
3.71,4.91,7.58,1
3.97,2.84,7.06,0
4.62,1.5,8.45,0
4.9,0.93,7.53,0
7.14,2.73,7.77,1
4.13,0.58,8.87,0
4.72,2.16,4.6,0
8.27,1.61,4.73,1
11.99,0.7,7.76,1
7.98,1.97,5.03,0
9.54,3.08,7.14,1
11.64,5.08,8.08,1
4.8,3.83,8.97,0
9.09,1.46,8.13,1
11.94,4.82,7.01,1
11.66,4.66,7.24,1
10.84,5.51,6.49,1
4.11,1.61,4.53,0
9.44,2.78,7.89,1
11.57,3.34,6.49,1
6.61,4.75,4.67,1
10.86,4.47,8.22,1
10.99,3.93,6.05,1
6.51,4.45,6.93,1
11.01,3.47,5.87,1
6.19,0.76,5.84,1
9.0,4.98,6.2,1
4.32,2.84,6.41,0
7.67,2.67,6.41,0
7.36,3.02,6.88,1
3.99,2.53,5.03,0
3.44,5.42,8.19,1
8.16,3.61,6.64,1
4.34,4.5,7.31,1
8.81,5.26,8.08,1
8.19,0.79,6.64,1
5.21,4.38,8.13,1
4.62,0.63,4.91,0
5.76,2.74,5.96,0
5.32,5.68,5.58,1
5.87,3.54,7.35,0
5.74,2.74,5.42,0
3.38,4.97,7.44,1
11.99,5.13,5.77,1
10.47,4.49,5.45,1
8.96,2.27,5.98,1
6.72,5.42,6.92,1
10.45,2.47,7.64,1
9.83,4.24,8.17,1
5.53,5.47,5.38,1
8.94,3.61,4.79,1
11.93,4.31,7.02,1
5.47,4.24,7.92,1
4.75,0.95,7.82,0
3.57,3.94,4.61,0
11.63,5.08,5.57,1
11.25,2.58,8.02,1
8.03,2.12,7.88,1
10.16,5.34,8.72,1
8.36,0.87,7.08,1
4.24,0.74,6.81,0
8.43,2.1,7.46,1
11.79,4.02,5.35,1
4.46,3.0,5.49,0
9.61,5.74,5.42,1
4.28,2.92,6.12,0
6.06,3.55,8.29,0
5.75,1.82,8.74,0
10.15,1.55,7.2,1
5.22,3.96,6.79,0
6.49,5.35,6.84,1
8.23,4.01,5.43,1
11.0,3.64,6.98,1
7.19,3.92,6.34,0
5.39,0.92,6.76,0
6.24,3.5,5.63,1
5.54,2.41,8.2,0
9.51,1.65,6.99,1
4.89,2.97,7.1,0
6.77,4.27,6.92,1
11.82,1.62,5.35,1
9.07,1.48,4.62,1
8.94,0.88,5.27,1
6.5,5.47,5.89,1
5.48,0.54,6.3,0
9.64,2.08,7.65,1
7.12,5.51,6.27,1
9.28,4.47,8.97,1
4.48,1.64,7.37,0
3.1,1.13,7.87,0
10.38,5.13,4.95,1
9.1,1.34,4.66,1
7.0,3.79,5.41,0
11.9,2.35,5.49,1
7.61,4.99,7.31,1
5.91,0.58,5.46,0
6.7,4.72,7.71,1
5.99,3.99,8.33,0
7.53,4.38,7.92,1
6.37,2.13,4.67,0
8.79,4.68,7.42,1
7.85,5.49,7.59,1
3.58,3.2,8.96,0
6.84,3.07,6.41,0
3.72,5.85,6.49,1
10.69,4.67,5.19,1
8.06,3.14,5.38,1
11.46,5.84,7.38,1
4.75,2.9,7.75,0
5.18,0.69,7.54,0
8.42,5.73,7.97,1
10.47,1.89,7.46,1
10.33,1.98,7.65,1
7.72,4.1,6.19,1
4.67,0.82,5.67,0
3.77,1.19,5.56,0
7.7,0.54,7.93,1
12.0,4.99,6.2,1
9.53,5.38,8.41,1
3.03,4.01,7.35,1
6.6,3.87,8.69,0
3.29,3.24,8.98,0
5.17,1.66,4.9,0
8.99,5.73,8.65,1
8.8,2.57,6.22,1
5.62,1.11,5.35,0
8.31,1.54,7.97,1
7.84,3.03,8.27,0
5.78,5.95,7.68,1
4.37,4.44,5.51,1
11.92,3.51,8.96,1
9.31,3.51,8.06,1
8.19,2.93,5.44,1
6.39,5.9,4.75,1
11.73,3.95,5.58,1
5.48,4.09,4.87,1
5.46,4.6,6.68,1
4.66,4.97,6.91,1
4.63,3.8,8.1,0
10.66,0.69,6.14,1
11.52,3.36,6.5,1
8.96,0.75,8.35,1
3.67,1.9,6.3,0
11.96,4.33,7.46,1
3.23,3.82,4.99,0
4.32,4.89,8.91,1
3.86,2.42,5.72,0
7.97,5.35,5.67,1
3.48,4.49,5.62,1
5.58,5.74,8.66,1
8.71,0.92,7.09,1
11.39,1.25,7.55,1
9.32,4.62,8.78,1
11.13,1.46,6.09,1
10.49,5.18,6.67,1
10.43,0.69,6.7,1
6.15,4.47,6.44,1
4.4,4.11,5.85,1
4.46,2.45,8.42,0
11.11,1.38,7.49,1
7.52,5.58,4.99,1
6.87,3.78,5.77,0
10.78,5.97,5.39,1
5.06,1.23,8.68,0
5.76,3.98,6.66,0
11.49,4.41,5.32,1
11.18,1.05,6.14,1
9.69,3.74,5.74,1
4.74,2.95,7.29,0
6.76,4.41,8.31,1
6.77,5.62,7.2,1
7.46,3.43,6.47,1
3.03,3.65,8.68,0
9.37,3.54,5.57,1
11.91,1.65,7.35,1
5.92,0.81,5.49,0
10.83,3.99,5.49,1
6.32,5.46,5.33,1
4.47,1.48,4.81,0
4.24,4.63,6.23,1
5.41,5.66,4.54,1
9.84,5.41,6.66,1
7.9,1.06,4.51,1
5.03,5.33,8.2,1
3.69,2.34,4.88,0
4.35,4.17,6.07,1
10.1,5.24,5.16,1
11.64,2.03,5.32,1
4.24,5.69,6.97,1
7.74,4.77,4.89,1
3.54,2.42,8.19,0
3.5,1.26,6.2,0
3.27,2.51,7.06,0
9.29,2.15,8.02,1
7.53,0.56,8.44,0
5.45,1.01,7.84,0
7.3,4.09,4.75,1
8.43,5.16,6.94,1
5.16,0.97,8.94,0
11.63,3.25,6.1,1
7.29,5.28,7.57,1
9.92,1.39,7.78,1
6.24,5.21,7.98,1
3.88,0.58,8.4,0
3.61,3.67,7.7,0
3.36,5.22,8.63,1
7.55,1.95,7.29,0
6.38,3.64,8.43,0
9.59,5.55,5.4,1
4.03,3.0,5.15,0
11.81,1.67,7.91,1
6.65,2.14,6.86,1
4.48,2.42,7.6,0
3.7,4.17,8.94,1
10.13,4.21,8.95,1
6.78,3.5,6.07,0
7.52,5.27,6.55,1
7.13,2.55,6.46,0
8.85,3.89,7.88,1
5.01,3.0,6.61,0
10.04,3.29,5.88,1
4.38,2.56,7.2,0
10.46,4.91,7.36,1
9.39,1.19,6.26,1
3.84,2.91,4.63,0
11.85,3.99,7.44,1
5.47,5.64,7.11,1
5.36,1.49,8.61,0
4.89,2.81,6.53,0
7.36,3.88,7.84,0
4.03,1.69,7.77,0
8.87,3.07,8.76,1
4.49,1.63,6.51,0
8.1,2.56,5.25,1
4.03,4.95,5.6,1
9.45,1.68,5.55,1
9.45,5.7,7.08,1
3.45,3.22,5.04,0
5.57,4.04,8.6,1
3.63,1.02,5.74,0
6.54,4.33,8.85,1
4.25,5.96,5.52,1
4.0,5.71,7.26,1
5.87,1.31,8.53,0
11.79,2.27,5.69,1
3.54,0.57,5.35,0
8.9,5.16,8.63,1
5.5,1.4,7.42,0
4.68,0.66,5.7,0
7.57,0.79,7.42,0
7.77,3.21,7.41,0
3.91,1.75,6.26,0
10.07,2.41,7.8,1
4.53,4.25,6.55,1
9.11,5.19,7.12,1
7.53,4.65,8.12,1
7.13,5.05,6.83,1
8.93,1.28,7.83,1
11.69,5.32,6.52,1
11.51,2.02,7.66,1
7.49,4.27,8.85,1
3.14,0.73,4.74,0
6.15,2.06,7.96,1
5.62,0.68,7.55,0
4.56,2.9,5.13,0
5.68,5.6,8.02,1
7.22,2.85,4.62,0
10.08,3.69,8.55,1
7.17,4.7,4.88,1
10.78,1.17,7.73,1
5.71,2.21,6.68,0
5.22,1.07,6.26,0
10.73,3.89,5.33,1
5.61,1.05,5.74,0
4.08,2.64,7.43,0
5.49,5.9,6.76,1
7.14,5.22,7.46,1
8.18,5.6,5.08,1
10.67,1.38,8.7,1
9.8,2.81,5.02,1
9.29,2.58,5.4,1
6.91,3.41,4.61,1
10.78,2.37,7.78,1
10.68,4.91,8.43,1
5.08,3.81,8.73,0
7.81,1.83,5.91,1
3.29,2.82,4.77,0
10.25,3.6,8.13,1
9.51,1.07,6.08,1
7.81,5.23,6.99,1
7.95,1.14,8.57,0
5.04,4.61,7.06,1
6.95,2.05,8.51,0
11.45,1.63,8.54,1
7.74,1.97,4.74,1
11.21,5.13,6.99,1
8.85,3.0,4.65,1
7.46,5.25,5.43,1
11.44,5.51,8.23,1
10.27,3.54,5.79,1
9.71,5.59,8.1,1
3.35,2.01,7.44,0
7.16,2.92,6.66,1
5.83,0.85,5.74,0
5.09,4.1,6.48,1
9.11,5.22,7.2,1
5.93,2.54,7.39,0
7.24,5.85,4.7,1
10.05,4.42,7.12,1
11.98,3.97,5.05,1
4.76,3.66,8.1,0
6.26,2.44,7.44,0
9.99,2.74,5.67,1
8.18,3.98,8.44,1
10.5,0.63,6.82,1
5.17,2.11,6.01,0
11.55,5.51,6.46,1
8.34,2.53,6.47,1
3.43,3.35,8.68,0
6.87,2.03,6.06,0
11.45,1.93,5.54,1
11.64,3.47,8.25,1
10.48,2.12,8.3,1
11.72,4.92,4.83,1
3.9,4.38,7.01,1
10.85,1.71,6.68,1
3.61,3.57,6.38,0
8.91,1.49,5.81,1
4.97,5.8,6.39,1
8.95,2.41,8.47,1
7.57,5.39,7.97,1
5.41,4.51,5.89,1
4.16,3.47,6.21,0
6.26,1.59,8.37,1
9.6,5.67,8.73,1
3.22,3.97,7.87,0
7.54,4.37,7.84,1
10.06,2.84,6.57,1
3.84,5.82,8.58,1
9.43,2.99,7.97,1
3.86,1.43,5.62,0
6.71,4.57,7.6,1
5.82,4.09,6.81,1
4.46,4.61,8.87,1
6.76,0.55,7.74,0
7.71,1.62,6.84,0
3.09,2.79,8.9,0
8.62,3.77,8.48,1
6.31,4.72,7.39,1
8.07,1.2,6.22,1
10.05,5.94,5.16,1
10.27,2.84,7.92,1
5.85,0.93,5.25,0
9.17,3.57,4.61,1
10.89,5.56,8.7,1
5.96,5.51,4.56,1
5.47,0.81,7.73,0
10.27,0.71,5.19,1
6.99,4.41,5.75,1
11.08,1.43,6.15,1
4.33,1.97,7.24,0
6.16,2.38,7.05,0
8.32,5.81,5.48,1
9.73,4.56,5.79,1
4.59,2.12,6.7,0
4.4,3.63,7.41,0
5.32,3.07,7.46,0
8.92,5.46,6.11,1
4.68,2.47,7.88,0
5.27,2.55,5.85,0
11.59,2.7,8.65,1
10.1,0.8,5.14,1
5.71,0.94,4.91,0
3.9,3.52,6.63,0
6.6,2.3,8.43,0
9.91,2.53,7.25,1
3.4,2.16,5.31,0
4.62,2.69,8.13,0
8.17,2.61,8.82,1
8.43,4.91,6.63,1
10.83,0.94,7.68,1
5.54,1.17,8.5,0
4.61,2.46,7.36,0
7.81,1.19,8.52,0
6.36,1.31,8.47,1
3.2,5.73,8.47,1
7.85,4.87,7.08,1
8.44,5.5,6.33,1
3.87,1.74,7.25,0
7.28,3.57,8.2,0
5.3,0.68,7.34,0
7.06,3.07,7.31,1
11.29,1.22,4.94,1
7.95,2.44,5.75,1
7.45,3.05,8.66,1
9.15,1.04,6.38,1
11.51,2.29,6.62,1
6.32,5.31,8.65,1
9.15,2.94,6.58,1
3.06,0.68,8.98,0
9.43,2.91,8.15,1
4.31,1.94,5.0,0
5.38,2.32,7.69,0
9.3,3.63,5.17,1
8.11,2.18,5.19,1
3.25,1.66,5.67,0
11.75,4.04,6.86,1
3.13,5.71,5.51,1
8.12,4.01,8.19,1
6.59,1.04,6.99,0
10.18,1.5,5.53,1
9.6,5.55,5.86,1
10.93,0.78,6.65,1
8.24,5.24,8.0,1
8.41,3.21,6.81,1
7.53,3.94,5.32,1
3.59,2.88,6.49,0
7.52,2.26,5.85,0
10.07,5.19,8.81,1
